p|classifier|construction_time|query_time
3|KNN|0.039523|0.000167695
3|Logistic Regression|0.058801|2.8345e-05
3|Random Forest|0.555548|8.609899999999999e-05
4|KNN|0.012614|8.1368e-05
4|Logistic Regression|0.075707|2.5256e-05
4|Random Forest|0.33757|5.3596e-05
5|KNN|0.03517|0.000101346
5|Logistic Regression|0.245811|2.8241e-05
5|Random Forest|0.727942|0.0001130479999999
6|KNN|0.017801|8.792e-05
6|Logistic Regression|0.259706|3.6029e-05
6|Random Forest|0.420075|7.9016e-05
7|KNN|0.027487|0.000136444
7|Logistic Regression|0.468491|2.863e-05
7|Random Forest|0.737579|7.5805e-05
8|KNN|0.017631|9.7737e-05
8|Logistic Regression|1.063877|2.7228e-05
8|Random Forest|1.100361|0.000128827
9|KNN|0.020145|0.000100115
9|Logistic Regression|5.431914|2.992e-05
9|Random Forest|1.686641|0.000102302
10|KNN|0.058499|0.000191704
10|Logistic Regression|10.339301|4.4723e-05
10|Random Forest|2.071953|0.000144064
11|KNN|0.107885|0.000184305
11|Random Forest|4.135655|7.7092e-05
